CodInst,NomeInstituicao,Segmento
28885036,IF 28885036,N/D
28979546,IF 28979546,N/D
29030467,IF 29030467,N/D
29162769,IF 29162769,N/D
29341260,IF 29341260,N/D
29650082,IF 29650082,N/D
29759316,IF 29759316,N/D
29985421,IF 29985421,N/D
30138226,IF 30138226,N/D
30172491,IF 30172491,N/D
30183111,IF 30183111,N/D
30304919,IF 30304919,N/D
30306294,BNDES,S1
30507541,IF 30507541,N/D
30586895,IF 30586895,N/D
30680829,Citibank N.A.,S2
30723871,IF 30723871,N/D
30723886,IF 30723886,N/D
30765018,IF 30765018,N/D
30798783,IF 30798783,N/D
30822936,IF 30822936,N/D
30944783,IF 30944783,N/D
30949267,IF 30949267,N/D
30980539,IF 30980539,N/D
31546476,IF 31546476,N/D
31597552,IF 31597552,N/D
31680151,IF 31680151,N/D
31746993,IF 31746993,N/D
31749596,IF 31749596,N/D
31804966,IF 31804966,N/D
31818873,IF 31818873,N/D
31872495,Banco Fibra S.A.,S4
31880826,IF 31880826,N/D
31895683,IF 31895683,N/D
32062580,IF 32062580,N/D
32074986,IF 32074986,N/D
32192325,IF 32192325,N/D
32206435,IF 32206435,N/D
32219232,IF 32219232,N/D
32223020,IF 32223020,N/D
32345784,IF 32345784,N/D
32402502,IF 32402502,N/D
32422628,IF 32422628,N/D
32428294,IF 32428294,N/D
32430233,IF 32430233,N/D
32467086,IF 32467086,N/D
32474884,IF 32474884,N/D
32588139,IF 32588139,N/D
32615247,IF 32615247,N/D
32648370,IF 32648370,N/D
32708748,IF 32708748,N/D
32778350,IF 32778350,N/D
32820711,IF 32820711,N/D
32983165,IF 32983165,N/D
32995755,IF 32995755,N/D
32997490,IF 32997490,N/D
33021064,IF 33021064,N/D
33022690,IF 33022690,N/D
33040601,IF 33040601,N/D
33042151,IF 33042151,N/D
33042953,IF 33042953,N/D
33132044,IF 33132044,N/D
